pin,slack
cmam_if_wrap_0/cmam_if/nif/nmc3/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_28:C,47285
cmam_if_wrap_0/cmam_if/nif/nmc3/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_28:IPC,47285
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_30:C,47334
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_30:IPC,47334
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:A,40410
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:B,41533
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:C,38617
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:D,38953
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:Y,38617
cmam_if_wrap_0/cmam_if/nif/data_rd_0_bm[9]:A,42888
cmam_if_wrap_0/cmam_if/nif/data_rd_0_bm[9]:B,39998
cmam_if_wrap_0/cmam_if/nif/data_rd_0_bm[9]:C,38782
cmam_if_wrap_0/cmam_if/nif/data_rd_0_bm[9]:D,38644
cmam_if_wrap_0/cmam_if/nif/data_rd_0_bm[9]:Y,38644
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:CLK,44367
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:D,44967
