Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,XTLOSC
CoreAPB3_0/Primitives,2,0,0,0,0,0,0,0,0,0,0,0
FCCC_0/Primitives,0,0,0,0,0,0,0,1,1,0,0,0
Mario_Libero_MSS_0/Primitives,0,0,0,0,4,0,0,0,1,1,0,0
OSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,1
Primitives/Primitives,4,0,0,0,15,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/am_if/Primitives,97,36,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/Primitives,195,24,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/cmd_inst/Primitives,142,19,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/Primitives,1,35,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/ackfifo/ACKFIFO_0/Primitives,4,20,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/ackfifo/ACKFIFO_0/genblk15.fifo_corefifo_sync_scntr/Primitives,35,23,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/ackfifo/ACKFIFO_0/genblk20.UI_ram_wrapper_1/U5_syncnonpipe/Primitives,0,0,36,36,0,1,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/Primitives,4,20,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/genblk15.fifo_corefifo_sync_scntr/Primitives,53,35,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/genblk20.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/Primitives,110,36,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/ds/Primitives,54,39,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc0/ntx/Primitives,85,17,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/Primitives,1,35,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/Primitives,4,20,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15.fifo_corefifo_sync_scntr/Primitives,35,23,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20.UI_ram_wrapper_1/U5_syncnonpipe/Primitives,0,0,36,36,0,1,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/Primitives,4,20,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15.fifo_corefifo_sync_scntr/Primitives,53,35,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/nrx/Primitives,108,36,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/nrx/ds/Primitives,54,39,0,0,0,0,0,0,0,0,0,0
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/Primitives,84,17,0,0,0,0,0,0,0,0,0,0
