pin,slack
cmam_if_wrap_0/cmam_if/nif/nmc3/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_28:C,47272
cmam_if_wrap_0/cmam_if/nif/nmc3/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_28:IPC,47272
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_30:C,47322
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_30:IPC,47322
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:A,40592
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:B,41723
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:C,38448
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:D,39108
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_0_a2[13]:Y,38448
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:CLK,43226
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:D,44937
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:EN,40063
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:Q,43226
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:SD,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/empty_r:SLn,
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_bm[4]:A,42856
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_bm[4]:B,39631
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_bm[4]:C,38376
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_bm[4]:D,38226
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_bm[4]:Y,38226
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:CLK,41122
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:D,45629
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:EN,40326
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:Q,41122
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/ackfifo/ACKFIFO_0/RDATA_r[0]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:CLK,36892
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:D,42336
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:EN,
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:Q,36892
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc1/ntx/count[1]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:A,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:B,44417
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:C,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:CC,44538
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:D,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:P,44417
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:S,44538
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt_cry[6]:UB,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:CLK,42640
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:D,45376
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:EN,43698
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:Q,42640
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:CLK,45036
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:D,44882
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:EN,39985
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:Q,45036
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:A,45432
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:B,45353
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:C,45288
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:D,45178
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:Y,45178
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:CLK,41372
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:D,44920
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:EN,41323
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:Q,41372
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:SLn,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:A,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:B,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:C,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPA,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPB,
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_i[1]:A,39662
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_i[1]:B,42725
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_i[1]:C,36976
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_i[1]:D,38167
cmam_if_wrap_0/cmam_if/nif/nmc0/nrx/data_rd_3_i[1]:Y,36976
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:A,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:B,46231
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:C,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:CC,45923
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:D,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:P,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:S,45923
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:UB,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:B,47296
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:C,47373
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:IPB,47296
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:IPC,47373
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:ALn,
